a2,a2_v
1.56989,4.58469e-10
1.56989,4.10427e-09
1.56989,-1.71916e-08
1.56989,-1.69445e-07
1.56989,-6.79021e-07
1.56989,-1.93507e-06
1.56989,-4.53184e-06
1.56989,-9.31075e-06
1.56989,-1.74021e-05
1.56989,-3.02661e-05
1.56988,-4.97332e-05
1.56987,-7.80424e-05
1.56986,-0.000117879
1.56984,-0.000172406
1.56982,-0.000245302
1.56978,-0.000340779
1.56974,-0.000463615
1.56968,-0.000619161
1.5696,-0.000813356
1.56949,-0.00105273
1.56936,-0.00134439
1.56919,-0.00169602
1.56897,-0.00211583
1.56871,-0.00261252
1.56839,-0.00319526
1.56801,-0.0038736
1.56754,-0.00465741
1.56699,-0.00555678
1.56633,-0.00658196
1.56555,-0.00774324
1.56465,-0.00905084
1.5636,-0.0105148
1.56238,-0.012145
1.56099,-0.0139507
1.55939,-0.015941
1.55758,-0.0181241
1.55553,-0.0205078
1.55322,-0.0230991
1.55063,-0.0259041
1.54774,-0.0289283
1.54452,-0.0321762
1.54095,-0.0356514
1.53702,-0.0393567
1.53269,-0.0432941
1.52794,-0.0474647
1.52275,-0.0518687
1.5171,-0.0565056
1.51097,-0.0613742
1.50432,-0.0664727
1.49714,-0.0717985
1.4894,-0.0773484
1.48109,-0.0831188
1.47218,-0.0891056
1.46265,-0.0953042
1.45248,-0.10171
1.44165,-0.108316
1.43014,-0.115119
1.41793,-0.122111
1.405,-0.129286
1.39133,-0.136639
1.37692,-0.144161
1.36173,-0.151847
1.34576,-0.15969
1.329,-0.167681
1.31141,-0.175815
1.29301,-0.184083
1.27376,-0.192479
1.25366,-0.200995
1.2327,-0.209623
1.21086,-0.218356
1.18814,-0.227188
1.16453,-0.23611
1.14002,-0.245115
1.1146,-0.254197
1.08827,-0.263346
1.06101,-0.272557
1.03283,-0.281821
1.00371,-0.291128
0.973668,-0.300471
0.942684,-0.309838
0.910762,-0.319218
0.877903,-0.328596
0.844107,-0.337956
0.809379,-0.347278
0.773725,-0.356539
0.737155,-0.365708
0.69968,-0.374751
0.661317,-0.383624
0.622089,-0.392278
0.582024,-0.400652
0.541157,-0.408675
0.49953,-0.416269
0.457195,-0.423344
0.414215,-0.429803
0.370661,-0.435545
0.326614,-0.440468
0.282166,-0.444475
0.237419,-0.447478
0.192478,-0.449406
0.147457,-0.450212
0.10247,-0.449871
0.0576308,-0.44839
0.0130507,-0.445801
-0.0311653,-0.44216
-0.0749198,-0.437545
-0.118124,-0.432044
-0.1607,-0.425754
-0.202577,-0.418774
-0.243697,-0.411198
-0.284008,-0.403115
-0.323469,-0.394605
-0.362043,-0.385737
-0.3997,-0.376572
-0.436416,-0.367158
-0.472169,-0.357539
-0.506944,-0.347749
-0.540726,-0.337816
-0.573502,-0.327763
-0.605263,-0.317609
-0.636,-0.307372
-0.665707,-0.297064
-0.694377,-0.2867
-0.722006,-0.276289
-0.74859,-0.265845
-0.774128,-0.255379
-0.798618,-0.244901
-0.822061,-0.234425
-0.844457,-0.223962
-0.86581,-0.213528
-0.886123,-0.203135
-0.905403,-0.192801
-0.923657,-0.18254
-0.940894,-0.172372
-0.957126,-0.162314
-0.972364,-0.152387
-0.986626,-0.142612
-0.999927,-0.133012
-1.01229,-0.123609
-1.02373,-0.114429
-1.03428,-0.105497
-1.04396,-0.0968416
-1.05281,-0.0884896
-1.06086,-0.0804697
-1.06814,-0.0728111
-1.0747,-0.0655428
-1.08057,-0.0586934
-1.08579,-0.0522902
-1.09043,-0.0463591
-1.09452,-0.0409231
-1.09812,-0.0360021
-1.10128,-0.0316117
-1.10406,-0.0277626
-1.10651,-0.0244596
-1.10868,-0.0217016
-1.11062,-0.0194808
-1.1124,-0.0177829
-1.11406,-0.0165873
-1.11565,-0.0158673
-1.11721,-0.0155912
-1.11878,-0.0157233
-1.1204,-0.0162241
-1.12211,-0.0170527
-1.12392,-0.0181667
-1.12588,-0.019524
-1.12798,-0.0210832
-1.13027,-0.0228049
-1.13273,-0.0246518
-1.13539,-0.0265894
-1.13825,-0.0285862
-1.14131,-0.0306138
-1.14457,-0.0326471
-1.14804,-0.034664
-1.1517,-0.0366457
-1.15556,-0.0385759
-1.15961,-0.0404412
-1.16383,-0.0422303
-1.16822,-0.0439343
-1.17278,-0.0455464
-1.17748,-0.0470612
-1.18233,-0.048475
-1.18731,-0.0497856
-1.19241,-0.0509916
-1.19762,-0.052093
-1.20293,-0.0530905
-1.20833,-0.0539857
-1.2138,-0.0547806
-1.21935,-0.055478
-1.22496,-0.0560812
-1.23062,-0.0565936
-1.23632,-0.0570192
-1.24206,-0.0573623
-1.24782,-0.0576272
-1.2536,-0.0578187
-1.2594,-0.0579416
-1.2652,-0.0580007
-1.271,-0.0580012
-1.27679,-0.057948
-1.28258,-0.0578465
-1.28835,-0.0577017
-1.2941,-0.0575189
-1.29983,-0.0573033
-1.30553,-0.05706
-1.31121,-0.0567943
-1.31686,-0.0565113
-1.32249,-0.0562161
-1.32808,-0.0559136
-1.33364,-0.0556087
-1.33917,-0.0553063
-1.34467,-0.0550111
-1.35014,-0.0547275
-1.35559,-0.0544599
-1.36101,-0.0542125
-1.36641,-0.0539892
-1.37179,-0.0537937
-1.37715,-0.0536293
-1.3825,-0.053499
-1.38784,-0.0534056
-1.39318,-0.053351
-1.39851,-0.053337
-1.40385,-0.0533647
-1.40919,-0.0534345
-1.41455,-0.053546
-1.41991,-0.0536981
-1.4253,-0.0538888
-1.43072,-0.0541149
-1.43615,-0.0543724
-1.44162,-0.0546559
-1.44711,-0.0549588
-1.45264,-0.055273
-1.4582,-0.0555892
-1.46379,-0.0558963
-1.46941,-0.0561821
-1.47505,-0.0564326
-1.48071,-0.0566324
-1.48639,-0.0567648
-1.49207,-0.0568117
-1.49775,-0.0567542
-1.5034,-0.0565723
-1.50903,-0.0562456
-1.5146,-0.0557535
-1.52011,-0.0550755
-1.52553,-0.0541916
-1.53084,-0.0530826
-1.53601,-0.0517306
-1.54102,-0.0501194
-1.54585,-0.0482345
-1.55045,-0.0460635
-1.55481,-0.0435962
-1.5589,-0.0408249
-1.56267,-0.037744
-1.56611,-0.0343501
-1.56917,-0.0306422
-1.57183,-0.0266209
-1.57406,-0.0222887
-1.57583,-0.0176496
-1.5771,-0.0127087
-1.57784,-0.00747219
-1.57804,-0.00194708
-1.57765,0.00385909
-1.57666,0.00993835
-1.57503,0.0162825
-1.57274,0.0228831
-1.56977,0.0297317
-1.56609,0.03682
-1.56167,0.0441395
-1.55651,0.0516819
-1.55056,0.059439
-1.54382,0.0674026
-1.53626,0.0755646
-1.52787,0.0839168
-1.51863,0.0924512
-1.50851,0.10116
-1.49751,0.110034
-1.4856,0.119067
-1.47278,0.128249
-1.45902,0.137573
-1.44432,0.14703
-1.42866,0.156612
-1.41202,0.16631
-1.39441,0.176118
-1.37581,0.186026
-1.35621,0.196028
-1.3356,0.206114
-1.31397,0.21628
-1.29132,0.226516
-1.26763,0.236819
-1.24292,0.247181
-1.21716,0.257599
-1.19035,0.268068
-1.16249,0.278586
-1.13358,0.289151
-1.1036,0.299762
-1.07256,0.310419
-1.04045,0.321123
-1.00726,0.331876
-0.97299,0.34268
-0.937636,0.353539
-0.90119,0.364455
-0.863647,0.37543
-0.825001,0.386462
-0.785247,0.397547
-0.744379,0.408677
-0.702395,0.419834
-0.659296,0.430992
-0.615085,0.44211
-0.569772,0.453131
-0.523375,0.463973
-0.475922,0.474532
-0.427454,0.484673
-0.378032,0.494228
-0.327732,0.503
-0.276655,0.510769
-0.224925,0.517301
-0.172688,0.522365
-0.120112,0.525762
-0.0673778,0.52734
-0.0146755,0.527023
0.037806,0.524815
0.0898867,0.520807
0.141402,0.515158
0.19221,0.508078
0.24219,0.499802
0.291247,0.490566
0.339306,0.48059
0.386313,0.470067
0.432228,0.459155
0.477027,0.447984
0.520691,0.436647
0.563213,0.425215
0.604587,0.413737
0.644811,0.402244
0.683887,0.390755
0.721814,0.379278
0.758596,0.367817
0.794233,0.356371
0.828727,0.344936
0.862077,0.333506
0.894285,0.322077
0.92535,0.310644
0.95527,0.299204
0.984045,0.287753
1.01167,0.276291
1.03816,0.264818
1.06349,0.253337
1.08768,0.241852
1.11071,0.230366
1.1326,0.218887
1.15334,0.207423
1.17294,0.195982
1.1914,0.184574
1.20872,0.17321
1.22491,0.161902
1.23998,0.150662
