Rank,1984 - po angielsku,Pan Tadeusz,Romeo i Julia
3990,2,2,1
3991,2,2,1
3992,2,2,1
3993,2,2,1
3994,2,2,1
3995,2,2,1
3996,2,2,1
3997,2,2,1
3998,2,2,1
3999,2,2,1
4000,2,2,1
4001,2,2,1
4002,2,2,1
4003,2,2,1
4004,2,2,1
4005,2,2,1
4006,2,2,1
4007,2,2,1
4008,2,2,1
4009,2,2,1
4010,2,2,1
4011,2,2,1
4012,2,2,1
4013,2,2,1
4014,2,2,1
4015,2,2,1
4016,2,2,1
4017,2,2,1
4018,2,2,1
4019,2,2,1
4020,2,2,1
4021,2,2,1
4022,2,2,1
4023,2,2,1
4024,2,2,1
4025,2,2,1
4026,2,2,1
4027,2,2,1
4028,2,2,1
4029,2,2,1
4030,2,2,1
4031,2,2,1
4032,2,2,1
4033,2,2,1
4034,2,2,1
4035,2,2,1
4036,2,2,1
4037,2,2,1
4038,2,2,1
4039,2,2,1
4040,2,2,1
4041,2,2,1
4042,2,2,1
4043,2,2,1
4044,2,2,1
4045,2,2,1
4046,2,2,1
4047,2,2,1
4048,2,2,1
4049,2,2,1
4050,2,2,1
4051,2,2,1
4052,2,2,1
4053,2,2,1
4054,2,2,1
4055,2,2,1
4056,2,2,1
4057,2,2,1
4058,2,2,1
4059,2,2,1
4060,2,2,1
4061,2,2,1
4062,2,2,1
4063,2,2,1
4064,2,2,1
4065,2,2,1
4066,2,2,1
4067,2,2,1
4068,2,2,1
4069,2,2,1
4070,2,2,1
4071,2,2,1
4072,2,2,1
4073,2,2,1
4074,2,2,1
4075,2,2,1
4076,2,2,1
4077,2,2,1
4078,2,2,1
4079,2,2,1
4080,2,2,1
4081,2,2,1
4082,2,2,1
4083,2,2,1
4084,2,2,1
4085,2,2,1
4086,2,2,1
4087,2,2,1
4088,2,2,1
4089,2,2,1
4090,2,2,1
4091,2,2,1
4092,2,2,1
4093,2,2,1
4094,2,2,1
4095,2,2,1
4096,2,2,1
4097,2,2,1
4098,2,2,1
4099,2,2,1
4100,2,2,1
4101,2,2,1
4102,2,2,1
4103,2,2,1
4104,2,2,1
4105,2,2,1
4106,2,2,1
4107,2,2,1
4108,2,2,1
4109,2,2,1
4110,2,2,1
4111,2,2,1
4112,2,2,1
4113,2,2,1
4114,2,2,1
4115,2,2,1
4116,2,2,1
4117,2,2,1
4118,2,2,1
4119,2,2,1
4120,2,2,1
4121,2,2,1
4122,2,2,1
4123,2,2,1
4124,2,2,1
4125,2,2,1
4126,2,2,1
4127,2,2,1
4128,2,2,1
4129,2,2,1
4130,2,2,1
4131,2,2,1
4132,2,2,1
4133,2,2,1
4134,2,2,1
4135,2,2,1
4136,2,2,1
4137,2,2,1
4138,2,2,1
4139,2,2,1
4140,2,2,1
4141,2,2,1
4142,2,2,1
4143,2,2,1
4144,2,2,1
4145,2,2,1
4146,2,2,1
4147,2,2,1
4148,2,2,1
4149,2,2,1
4150,2,2,1
4151,2,2,1
4152,2,2,1
4153,2,2,1
4154,2,2,1
4155,2,2,1
4156,2,2,1
4157,2,2,1
4158,2,2,1
4159,2,2,1
4160,2,2,1
4161,2,2,1
4162,2,2,1
4163,2,2,1
4164,2,2,1
4165,2,2,1
4166,2,2,1
4167,2,2,1
4168,2,2,1
4169,2,2,1
4170,2,2,1
4171,2,2,1
4172,2,2,1
4173,2,2,1
4174,2,2,1
4175,2,2,1
4176,2,2,1
4177,2,2,1
4178,2,2,1
4179,2,2,1
4180,2,2,1
4181,2,2,1
4182,2,2,1
4183,2,2,1
4184,2,2,1
4185,2,2,1
4186,2,2,1
4187,2,2,1
4188,2,2,1
4189,2,2,1
4190,2,2,1
4191,2,2,1
4192,2,2,1
4193,2,2,1
4194,2,2,1
4195,2,2,1
4196,2,2,1
4197,2,2,1
4198,2,2,1
4199,2,2,1
4200,2,2,1
4201,2,2,1
4202,2,2,1
4203,2,2,1
4204,2,2,1
4205,2,2,1
4206,2,2,1
4207,2,2,1
4208,2,2,1
4209,2,2,1
4210,2,2,1
4211,2,2,1
4212,2,2,1
4213,2,2,1
4214,2,2,1
4215,2,2,1
4216,2,2,1
4217,2,2,1
4218,2,2,1
4219,2,2,1
4220,2,2,1
4221,2,2,1
4222,2,2,1
4223,2,2,1
4224,2,2,1
4225,2,2,1
4226,2,2,1
4227,2,2,1
4228,2,2,1
4229,2,2,1
4230,2,2,1
4231,2,2,1
4232,2,2,1
4233,2,2,1
4234,2,2,1
4235,2,2,1
4236,2,2,1
4237,2,2,1
4238,2,2,1
4239,2,2,1
4240,2,2,1
4241,2,2,1
4242,2,2,1
4243,2,2,1
4244,2,2,1
4245,2,2,1
4246,2,2,1
4247,2,2,1
4248,2,2,1
4249,2,2,1
4250,2,2,1
4251,2,2,1
4252,2,2,1
4253,2,2,1
4254,2,2,1
4255,2,2,1
4256,2,2,1
4257,2,2,1
4258,2,2,1
4259,2,2,1
4260,2,2,1
4261,2,2,1
4262,2,2,1
4263,2,2,1
4264,2,2,1
4265,2,2,1
4266,2,2,1
4267,2,2,1
4268,2,2,1
4269,2,2,1
4270,2,2,1
4271,2,2,1
4272,2,2,1
4273,2,2,1
4274,2,2,1
4275,2,2,1
4276,2,2,1
4277,2,2,1
4278,2,2,1
4279,2,2,1
4280,2,2,1
4281,2,2,1
4282,2,2,1
4283,2,2,1
4284,2,2,1
4285,2,2,1
4286,2,2,1
4287,2,2,1
4288,2,2,1
4289,2,2,1
4290,2,2,1
4291,2,2,1
4292,2,2,1
4293,2,2,1
4294,2,2,1
4295,2,2,1
4296,2,2,1
4297,2,2,1
4298,2,2,1
4299,2,2,1
4300,2,2,1
4301,2,2,1
4302,2,2,1
4303,2,2,1
4304,2,2,1
4305,2,2,1
4306,2,2,1
4307,2,2,1
4308,2,2,1
4309,2,2,1
4310,2,2,1
4311,2,2,1
4312,2,2,1
4313,2,2,1
4314,2,2,1
4315,2,2,1
4316,2,2,1
4317,2,2,1
4318,2,2,1
4319,2,2,1
4320,2,2,1
4321,2,2,1
4322,2,2,1
4323,2,2,1
4324,2,2,1
4325,2,2,1
4326,2,2,1
4327,2,2,1
4328,2,2,1
4329,2,2,1
4330,2,2,1
4331,2,2,1
4332,2,2,1
4333,2,2,1
4334,2,2,1
4335,2,2,1
4336,2,2,1
4337,2,2,1
4338,2,2,1
4339,2,2,1
4340,2,2,1
4341,2,2,1
4342,2,2,1
4343,2,2,1
4344,2,2,1
4345,2,2,1
4346,2,2,1
4347,2,2,1
4348,2,2,1
4349,2,2,1
4350,2,2,1
4351,2,2,1
4352,2,2,1
4353,2,2,1
4354,2,2,1
4355,2,2,1
4356,2,2,1
4357,2,2,1
4358,2,2,1
4359,2,2,1
4360,2,2,1
4361,2,2,1
4362,2,2,1
4363,2,2,1
4364,2,2,1
4365,2,2,1
4366,2,2,1
4367,2,2,1
4368,2,2,1
4369,2,2,1
4370,2,2,1
4371,2,2,1
4372,2,2,1
4373,2,2,1
4374,2,2,1
4375,2,2,1
4376,2,2,1
4377,2,2,1
4378,2,2,1
4379,2,2,1
4380,2,2,1
4381,2,2,1
4382,2,2,1
4383,2,2,1
4384,2,2,1
4385,2,2,1
4386,2,2,1
4387,2,2,1
4388,2,2,1
4389,2,2,1
4390,2,2,1
4391,2,2,1
4392,2,2,1
4393,2,2,1
4394,2,2,1
4395,2,2,1
4396,2,2,1
4397,2,2,1
4398,2,2,1
4399,2,2,1
4400,2,2,1
4401,2,2,1
4402,2,2,1
4403,2,2,1
4404,2,2,1
4405,2,2,1
4406,2,2,1
4407,2,2,1
4408,2,2,1
4409,2,2,1
4410,2,2,1
4411,2,2,1
4412,2,2,1
4413,2,2,1
4414,2,2,1
4415,2,2,1
4416,2,2,1
4417,2,2,1
4418,2,2,1
4419,2,2,1
4420,2,2,1
4421,2,2,1
4422,2,2,1
4423,2,2,1
4424,2,2,1
4425,2,2,1
4426,2,2,1
4427,2,2,1
4428,2,2,1
4429,2,2,1
4430,2,2,1
4431,2,2,1
4432,2,2,1
4433,2,2,1
4434,2,2,1
4435,2,2,1
4436,2,2,1
4437,2,2,1
4438,2,2,1
4439,2,2,1
4440,2,2,1
4441,2,2,1
4442,2,2,1
4443,2,2,1
4444,2,2,1
4445,2,2,1
4446,2,2,1
4447,2,2,1
4448,2,2,1
4449,2,2,1
4450,2,2,1
4451,2,2,1
4452,2,2,1
4453,2,2,1
4454,2,2,1
4455,2,2,1
4456,2,2,1
4457,2,2,1
4458,2,2,1
4459,2,2,1
4460,2,2,1
4461,2,2,1
4462,2,2,1
4463,2,2,1
4464,2,2,1
4465,2,2,1
4466,2,2,1
4467,2,2,1
4468,2,2,1
4469,2,2,1
4470,2,2,1
4471,2,2,1
4472,2,2,1
4473,2,2,1
4474,2,2,1
4475,2,2,1
4476,2,2,1
4477,2,2,1
4478,2,2,1
4479,2,2,1
4480,2,2,1
4481,2,2,1
4482,2,2,1
4483,2,2,1
4484,2,2,1
4485,2,2,1
4486,2,2,1
4487,2,2,1
4488,2,2,1
4489,2,2,1
4490,2,2,1
4491,2,2,1
4492,2,2,1
4493,2,2,1
4494,2,2,1
4495,2,2,1
4496,2,2,1
4497,2,2,1
4498,2,2,1
4499,2,2,1
4500,2,2,1
4501,2,2,1
4502,2,2,1
4503,2,2,1
4504,2,2,1
4505,2,2,1
4506,2,2,1
4507,2,2,1
4508,2,2,1
4509,2,2,1
4510,2,2,1
4511,2,2,1
4512,2,2,1
4513,2,2,1
4514,2,2,1
4515,2,2,1
4516,2,2,1
4517,2,2,1
4518,2,2,1
4519,2,2,1
4520,2,2,1
4521,2,2,1
4522,2,2,1
4523,2,2,1
4524,2,2,1
4525,2,2,1
4526,2,2,1
4527,2,2,1
4528,2,2,1
4529,2,2,1
4530,2,2,1
4531,2,2,1
4532,2,2,1
4533,2,2,1
4534,2,2,1
4535,2,2,1
4536,2,2,1
4537,2,2,1
4538,2,2,1
4539,2,2,1
4540,2,2,1
4541,2,2,1
4542,2,2,1
4543,2,2,1
4544,2,2,1
4545,2,2,1
4546,2,2,1
4547,2,2,1
4548,2,2,1
4549,2,2,1
4550,2,2,1
4551,2,2,1
4552,2,2,1
4553,2,2,1
4554,2,2,1
4555,2,2,1
4556,2,2,1
4557,2,2,1
4558,2,2,1
4559,2,2,1
4560,2,2,1
4561,2,2,1
4562,2,2,1
4563,2,2,1
4564,2,2,1
4565,2,2,1
4566,2,2,1
4567,2,2,1
4568,2,2,1
4569,2,2,1
4570,2,2,1
4571,2,2,1
4572,2,2,1
4573,2,2,1
4574,2,2,1
4575,2,2,1
4576,2,2,1
4577,2,2,1
4578,2,2,1
4579,2,2,1
4580,2,2,1
4581,2,2,1
4582,2,2,1
4583,2,2,1
4584,2,2,1
4585,2,2,1
4586,2,2,1
4587,2,2,1
4588,2,2,1
4589,2,2,1
4590,2,2,1
4591,2,2,1
4592,2,2,1
4593,2,2,1
4594,2,2,1
4595,2,2,1
4596,2,2,1
4597,2,2,1
4598,2,2,1
4599,2,2,1
4600,2,2,1
4601,2,2,1
4602,2,2,1
4603,2,2,1
4604,2,2,1
4605,2,2,1
4606,2,2,1
4607,2,2,1
4608,2,2,1
4609,2,2,1
4610,2,2,1
4611,2,2,1
4612,2,2,1
4613,2,2,1
4614,2,2,1
4615,2,2,1
4616,2,2,1
4617,2,2,1
4618,2,2,1
4619,2,2,1
4620,2,2,1
4621,2,2,1
4622,2,2,1
4623,2,2,1
4624,2,2,1
4625,2,2,1
4626,2,2,1
4627,2,2,1
4628,2,2,1
4629,2,2,1
4630,2,2,1
4631,2,2,1
4632,2,2,1
4633,2,2,1
4634,2,2,1
4635,2,2,1
4636,2,2,1
4637,2,2,1
4638,2,2,1
4639,2,2,1
4640,2,2,1
4641,2,2,1
4642,2,2,1
4643,2,2,1
4644,2,2,1
4645,2,2,1
4646,2,2,1
4647,2,2,1
4648,2,2,1
4649,2,2,1
4650,2,2,1
4651,2,2,1
4652,2,2,1
4653,2,2,1
4654,2,2,1
4655,2,2,1
4656,2,2,1
4657,2,2,1
4658,2,2,1
4659,2,2,1
4660,2,2,1
4661,2,2,1
4662,2,2,1
4663,2,2,1
4664,2,2,1
4665,2,2,1
4666,2,2,1
4667,2,2,1
4668,2,2,1
4669,2,2,1
4670,2,2,1
4671,2,2,1
4672,2,2,1
4673,2,2,1
4674,2,2,1
4675,2,2,1
4676,2,2,1
4677,2,2,1
4678,2,2,1
4679,2,2,1
4680,2,2,1
4681,2,2,1
4682,2,2,1
4683,2,2,1
4684,2,2,1
4685,2,2,1
4686,2,2,1
4687,2,2,1
4688,2,2,1
4689,2,2,1
4690,2,2,1
4691,2,2,1
4692,2,2,1
4693,2,2,1
4694,2,2,1
4695,2,2,1
4696,2,2,1
4697,2,2,1
4698,2,2,1
4699,2,2,1
4700,2,2,1
4701,2,2,1
4702,2,2,1
4703,2,2,1
4704,2,2,1
4705,2,2,1
4706,2,2,1
4707,2,2,1
4708,2,2,1
4709,2,2,1
4710,2,2,1
4711,2,2,1
4712,2,2,1
4713,2,2,1
4714,2,2,1
4715,2,2,1
4716,2,2,1
4717,2,2,1
4718,2,2,1
4719,2,2,1
4720,2,2,1
4721,2,2,1
4722,2,2,1
4723,2,2,1
4724,2,2,1
4725,2,2,1
4726,2,2,1
4727,2,2,1
4728,2,2,1
4729,2,2,1
4730,2,2,1
4731,2,2,1
4732,2,2,1
4733,2,2,1
4734,2,2,1
4735,2,2,1
4736,2,2,1
4737,2,2,1
4738,2,2,1
4739,2,2,1
4740,2,2,1
4741,2,2,1
4742,2,2,1
4743,2,2,1
4744,2,2,1
4745,2,2,1
4746,2,2,1
4747,2,2,1
4748,2,2,1
4749,2,2,1
4750,2,2,1
4751,2,2,1
4752,2,2,1
4753,2,2,1
4754,2,2,1
4755,2,2,1
4756,2,2,1
4757,2,2,1
4758,2,2,1
4759,2,2,1
4760,2,2,1
4761,2,2,1
4762,2,2,1
4763,2,2,1
4764,2,2,1
4765,2,2,1
4766,2,2,1
4767,2,2,1
4768,2,2,1
4769,2,2,1
4770,2,2,1
4771,2,2,1
4772,2,2,1
4773,2,2,1
4774,2,2,1
4775,2,2,1
4776,2,2,1
4777,2,2,1
4778,2,2,1
4779,2,2,1
4780,2,2,1
4781,2,2,1
4782,2,2,1
4783,2,2,1
4784,2,2,1
4785,2,2,1
4786,2,2,1
4787,2,2,1
4788,2,2,1
4789,2,2,1
4790,2,2,1
4791,2,2,1
4792,2,2,1
4793,2,2,1
4794,2,2,1
4795,2,2,1
4796,2,2,1
4797,2,2,1
4798,2,2,1
4799,2,2,1
4800,2,2,1
4801,2,2,1
4802,2,2,1
4803,2,2,1
4804,2,2,1
4805,2,2,1
4806,2,2,1
4807,2,2,1
4808,2,2,1
4809,2,2,1
4810,2,2,1
4811,2,2,1
4812,2,2,1
4813,2,2,1
4814,2,2,1
4815,2,2,1
4816,2,2,1
4817,2,2,1
4818,2,2,1
4819,2,2,1
4820,2,2,1
4821,2,2,1
4822,2,2,1
4823,2,2,1
4824,2,2,1
4825,2,2,1
4826,2,2,1
4827,2,2,1
4828,2,2,1
4829,2,2,1
4830,2,2,1
4831,2,2,1
4832,2,2,1
4833,2,2,1
4834,2,2,1
4835,2,2,1
4836,2,2,1
4837,2,2,1
4838,2,2,1
4839,2,2,1
4840,2,2,1
4841,2,2,1
4842,2,2,1
4843,2,2,1
4844,2,2,1
4845,2,2,1
4846,2,2,1
4847,2,2,1
4848,2,2,1
4849,2,2,1
4850,2,2,1
4851,2,2,1
4852,2,2,1
4853,2,2,1
4854,2,2,1
4855,2,2,1
4856,2,2,1
4857,2,2,1
4858,2,2,1
4859,2,2,1
4860,2,2,1
4861,2,2,1
4862,2,2,1
4863,2,2,1
4864,2,2,1
4865,2,2,1
4866,2,2,1
4867,2,2,1
4868,2,2,1
4869,2,2,1
4870,2,2,1
4871,2,2,1
4872,2,2,1
4873,2,2,1
4874,2,2,1
4875,2,2,1
4876,2,2,1
4877,2,2,1
4878,2,2,1
4879,2,2,1
4880,2,2,1
4881,2,2,1
4882,2,2,1
4883,2,2,1
4884,2,2,1
4885,2,2,1
4886,2,2,1
4887,2,2,1
4888,2,2,1
4889,2,2,1
4890,2,2,1
4891,2,2,1
4892,2,2,1
4893,2,2,1
4894,2,2,1
4895,2,2,1
4896,2,2,1
4897,2,2,1
4898,2,2,1
4899,2,2,1
4900,2,2,1
4901,2,2,1
4902,1,2,1
4903,1,2,1
4904,1,2,1
4905,1,2,1
4906,1,2,1
4907,1,2,1
4908,1,2,1
4909,1,2,1
4910,1,2,1
4911,1,2,1
4912,1,2,1
4913,1,2,1
4914,1,2,1
4915,1,2,1
4916,1,2,1
4917,1,2,1
4918,1,2,1
4919,1,2,1
4920,1,2,1
4921,1,2,1
4922,1,2,1
4923,1,2,1
4924,1,2,1
4925,1,2,1
4926,1,2,1
4927,1,2,1
4928,1,2,1
4929,1,2,1
4930,1,2,1
4931,1,2,1
4932,1,2,1
4933,1,2,1
4934,1,2,1
4935,1,2,1
4936,1,2,1
4937,1,2,1
4938,1,2,1
4939,1,2,1
4940,1,2,1
4941,1,2,1
4942,1,2,1
4943,1,2,1
4944,1,2,1
4945,1,2,1
4946,1,2,1
4947,1,2,1
4948,1,2,1
4949,1,2,1
4950,1,2,1
4951,1,2,1
4952,1,2,1
4953,1,2,1
4954,1,2,1
4955,1,2,1
4956,1,2,1
4957,1,2,1
4958,1,2,1
4959,1,2,1
4960,1,2,1
4961,1,2,1
4962,1,2,1
4963,1,2,1
4964,1,2,1
4965,1,2,1
4966,1,2,1
4967,1,2,1
4968,1,2,1
4969,1,2,1
4970,1,2,1
4971,1,2,1
4972,1,2,1
4973,1,2,1
4974,1,2,1
4975,1,2,1
4976,1,2,1
4977,1,2,1
4978,1,2,1
4979,1,2,1
4980,1,2,1
4981,1,2,1
4982,1,2,1
4983,1,2,1
4984,1,2,1
4985,1,2,1
4986,1,2,1
4987,1,2,1
4988,1,2,1
4989,1,2,1
4990,1,2,1
4991,1,2,1
4992,1,2,1
4993,1,2,1
4994,1,2,1
4995,1,2,1
4996,1,2,1
4997,1,2,1
4998,1,2,1
4999,1,2,1
5000,1,2,1
5001,1,2,1
5002,1,2,1
5003,1,2,1
5004,1,2,1
5005,1,2,1
5006,1,2,1
5007,1,2,1
5008,1,2,1
5009,1,2,1
5010,1,2,1
5011,1,2,1
5012,1,2,1
5013,1,2,1
5014,1,2,1
5015,1,2,1
5016,1,2,1
5017,1,2,1
5018,1,2,1
5019,1,2,1
5020,1,2,1
5021,1,2,1
5022,1,2,1
5023,1,2,1
5024,1,2,1
5025,1,2,1
5026,1,2,1
5027,1,2,1
5028,1,2,1
5029,1,2,1
5030,1,2,1
5031,1,2,1
5032,1,2,1
5033,1,2,1
5034,1,2,1
5035,1,2,1
5036,1,2,1
5037,1,2,1
5038,1,2,1
5039,1,2,1
5040,1,2,1
5041,1,2,1
5042,1,2,1
5043,1,2,1
5044,1,2,1
5045,1,2,1
5046,1,2,1
5047,1,2,1
5048,1,2,1
5049,1,2,1
5050,1,2,1
5051,1,2,1
5052,1,2,1
5053,1,2,1
5054,1,2,1
5055,1,2,1
5056,1,2,1
5057,1,2,1
5058,1,2,1
5059,1,2,1
5060,1,2,1
5061,1,2,1
5062,1,2,1
5063,1,2,1
5064,1,2,1
5065,1,2,1
5066,1,2,1
5067,1,2,1
5068,1,2,1
5069,1,2,1
5070,1,2,1
5071,1,2,1
5072,1,2,1
5073,1,2,1
5074,1,2,1
5075,1,2,1
5076,1,2,1
5077,1,2,1
5078,1,2,1
5079,1,2,1
5080,1,2,1
5081,1,2,1
5082,1,2,1
5083,1,2,1
5084,1,2,1
5085,1,2,1
5086,1,2,1
5087,1,2,1
5088,1,2,1
5089,1,2,1
5090,1,2,1
5091,1,2,1
5092,1,2,1
5093,1,2,1
5094,1,2,1
5095,1,2,1
5096,1,2,1
5097,1,2,1
5098,1,2,1
5099,1,2,1
5100,1,2,1
5101,1,2,1
5102,1,2,1
5103,1,2,1
5104,1,2,1
5105,1,2,1
5106,1,2,1
5107,1,2,1
5108,1,2,1
5109,1,2,1
5110,1,2,1
5111,1,2,1
5112,1,2,1
5113,1,2,1
5114,1,2,1
5115,1,2,1
5116,1,2,1
5117,1,2,1
5118,1,2,1
5119,1,2,1
5120,1,2,1
5121,1,2,1
5122,1,2,1
5123,1,2,1
5124,1,2,1
5125,1,2,1
5126,1,2,1
5127,1,2,1
5128,1,2,1
5129,1,2,1
5130,1,2,1
5131,1,2,1
5132,1,2,1
5133,1,2,1
5134,1,2,1
5135,1,2,1
5136,1,2,1
5137,1,2,1
5138,1,2,1
5139,1,2,1
5140,1,2,1
5141,1,2,1
5142,1,2,1
5143,1,2,1
5144,1,2,1
5145,1,2,1
5146,1,2,1
5147,1,2,1
5148,1,2,1
5149,1,2,1
5150,1,2,1
5151,1,2,1
5152,1,2,1
5153,1,2,1
5154,1,2,1
5155,1,2,1
5156,1,2,1
5157,1,2,1
5158,1,2,1
5159,1,2,1
5160,1,2,1
5161,1,2,1
5162,1,2,1
5163,1,2,1
5164,1,2,1
5165,1,2,1
5166,1,2,1
5167,1,2,1
5168,1,2,1
5169,1,2,1
5170,1,2,1
5171,1,2,1
5172,1,2,1
5173,1,2,1
5174,1,2,1
5175,1,2,1
5176,1,2,1
5177,1,2,1
5178,1,2,1
5179,1,2,1
5180,1,2,1
5181,1,2,1
5182,1,2,1
5183,1,2,1
5184,1,2,1
5185,1,2,1
5186,1,2,1
5187,1,2,1
5188,1,2,1
5189,1,2,1
5190,1,2,1
5191,1,2,1
5192,1,2,1
5193,1,2,1
5194,1,2,1
5195,1,2,1
5196,1,2,1
5197,1,2,1
5198,1,2,1
5199,1,2,1
5200,1,2,1
5201,1,2,1
5202,1,2,1
5203,1,2,1
5204,1,2,1
5205,1,2,1
5206,1,2,1
5207,1,2,1
5208,1,2,1
5209,1,2,1
5210,1,2,1
5211,1,2,1
5212,1,2,1
5213,1,2,1
5214,1,2,1
5215,1,2,1
5216,1,2,1
5217,1,2,1
5218,1,2,1
5219,1,2,1
5220,1,2,1
5221,1,2,1
5222,1,2,1
5223,1,2,1
5224,1,2,1
5225,1,2,1
5226,1,2,1
5227,1,2,1
5228,1,2,1
5229,1,2,1
5230,1,2,1
5231,1,2,1
5232,1,2,1
5233,1,2,1
5234,1,2,1
5235,1,2,1
5236,1,2,1
5237,1,2,1
5238,1,2,1
5239,1,2,1
5240,1,2,1
5241,1,2,1
5242,1,2,1
5243,1,2,1
5244,1,2,1
5245,1,2,1
5246,1,2,1
5247,1,2,1
5248,1,2,1
5249,1,2,1
5250,1,2,1
5251,1,2,1
5252,1,2,1
5253,1,2,1
5254,1,2,1
5255,1,2,1
5256,1,2,1
5257,1,2,1
5258,1,2,1
5259,1,2,1
5260,1,2,1
5261,1,2,1
5262,1,2,1
5263,1,2,1
5264,1,2,1
5265,1,2,1
5266,1,2,1
5267,1,2,1
5268,1,2,1
5269,1,2,1
5270,1,2,1
5271,1,2,1
5272,1,2,1
5273,1,2,1
5274,1,2,1
5275,1,2,1
5276,1,2,1
5277,1,2,1
5278,1,2,1
5279,1,2,1
5280,1,2,1
5281,1,2,1
5282,1,2,1
5283,1,2,1
5284,1,2,1
5285,1,2,1
5286,1,2,1
5287,1,2,1
5288,1,2,1
5289,1,2,1
5290,1,2,1
5291,1,2,1
5292,1,2,1
5293,1,2,1
5294,1,2,1
5295,1,2,1
5296,1,2,1
5297,1,2,1
5298,1,2,1
5299,1,2,1
5300,1,2,1
5301,1,2,1
5302,1,2,1
5303,1,2,1
5304,1,2,1
5305,1,2,1
5306,1,2,1
5307,1,2,1
5308,1,2,1
5309,1,2,1
5310,1,2,1
5311,1,2,1
5312,1,2,1
5313,1,2,1
5314,1,2,1
5315,1,2,1
5316,1,2,1
5317,1,2,1
5318,1,2,1
5319,1,2,1
5320,1,2,1
5321,1,2,1
5322,1,2,1
5323,1,2,1
5324,1,2,1
5325,1,2,1
5326,1,2,1
5327,1,2,1
5328,1,2,1
5329,1,2,1
5330,1,2,1
5331,1,2,1
5332,1,2,1
5333,1,2,1
5334,1,2,1
5335,1,2,1
5336,1,2,1
5337,1,2,1
5338,1,2,1
5339,1,2,1
5340,1,2,1
5341,1,2,1
5342,1,2,1
5343,1,2,1
5344,1,2,1
5345,1,2,1
5346,1,2,1
5347,1,2,1
5348,1,2,1
5349,1,2,1
5350,1,2,1
5351,1,2,1
5352,1,2,1
5353,1,2,1
5354,1,2,1
5355,1,2,1
5356,1,2,1
5357,1,2,1
5358,1,2,1
5359,1,2,1
5360,1,2,1
5361,1,2,1
5362,1,2,1
5363,1,2,1
5364,1,2,1
5365,1,2,1
5366,1,2,1
5367,1,2,1
5368,1,2,1
5369,1,2,1
5370,1,2,1
5371,1,2,1
5372,1,2,1
5373,1,2,1
5374,1,2,1
5375,1,2,1
5376,1,2,1
5377,1,2,1
5378,1,2,1
5379,1,2,1
5380,1,2,1
5381,1,2,1
5382,1,2,1
5383,1,2,1
5384,1,2,1
5385,1,2,1
5386,1,2,1
5387,1,2,1
5388,1,2,1
5389,1,2,1
5390,1,2,1
5391,1,2,1
5392,1,2,1
5393,1,2,1
5394,1,2,1
5395,1,2,1
5396,1,2,1
5397,1,2,1
5398,1,2,1
5399,1,2,1
5400,1,2,1
5401,1,2,1
5402,1,2,1
5403,1,2,1
5404,1,2,1
5405,1,2,1
5406,1,2,1
5407,1,2,1
5408,1,2,1
5409,1,2,1
5410,1,2,1
5411,1,2,1
5412,1,2,1
5413,1,2,1
5414,1,2,1
5415,1,2,1
5416,1,2,1
5417,1,2,1
5418,1,2,1
5419,1,2,1
5420,1,2,1
5421,1,2,1
5422,1,2,1
5423,1,2,1
5424,1,2,1
5425,1,2,1
5426,1,2,1
5427,1,2,1
5428,1,2,1
5429,1,2,1
5430,1,2,1
5431,1,2,1
5432,1,2,1
5433,1,2,1
5434,1,2,1
5435,1,2,1
5436,1,2,1
5437,1,2,1
5438,1,2,1
5439,1,2,1
5440,1,2,1
5441,1,2,1
5442,1,2,1
5443,1,2,1
5444,1,2,1
5445,1,2,1
5446,1,2,1
5447,1,2,1
5448,1,2,1
5449,1,2,1
5450,1,2,1
5451,1,2,1
5452,1,2,1
5453,1,2,1
5454,1,2,1
5455,1,2,1
5456,1,2,1
5457,1,2,1
5458,1,2,1
5459,1,2,1
5460,1,2,1
5461,1,2,1
5462,1,2,1
5463,1,2,1
5464,1,2,1
5465,1,2,1
5466,1,2,1
5467,1,2,1
5468,1,2,1
5469,1,2,1
5470,1,2,1
5471,1,2,1
5472,1,2,1
5473,1,2,1
5474,1,2,1
5475,1,2,1
5476,1,2,1
5477,1,2,1
5478,1,2,1
5479,1,2,1
5480,1,2,1
5481,1,2,1
5482,1,2,1
5483,1,2,1
5484,1,2,1
5485,1,2,1
5486,1,2,1
5487,1,2,1
5488,1,2,1
5489,1,2,1
5490,1,2,1
5491,1,2,1
5492,1,2,1
5493,1,2,1
5494,1,2,1
5495,1,2,1
5496,1,2,1
5497,1,2,1
5498,1,2,1
5499,1,2,1
5500,1,2,1
5501,1,2,1
5502,1,2,1
5503,1,2,1
5504,1,2,1
5505,1,2,1
5506,1,2,1
5507,1,2,1
5508,1,2,1
5509,1,2,1
5510,1,2,1
5511,1,2,1
5512,1,2,1
5513,1,2,1
5514,1,2,1
5515,1,2,1
5516,1,2,1
5517,1,2,1
5518,1,2,1
5519,1,2,1
5520,1,2,1
5521,1,2,1
5522,1,2,1
5523,1,2,1
5524,1,2,1
5525,1,2,1
5526,1,2,1
5527,1,2,1
5528,1,2,1
5529,1,2,1
5530,1,2,1
5531,1,2,1
5532,1,2,1
5533,1,2,1
5534,1,2,1
5535,1,2,1
5536,1,2,1
5537,1,2,1
5538,1,2,1
5539,1,2,1
5540,1,2,1
